k,val_accuracy,val_macro_f1,runtime_sec
3,0.874,0.8738220361073215,1.6588799953460693
5,0.8804444444444445,0.8803005923563252,0.9380161762237549
7,0.8882222222222222,0.888092857565568,0.9054498672485352
9,0.888,0.887865238936037,0.8808071613311768
11,0.8868888888888888,0.8867579811150579,0.8502490520477295
13,0.8857777777777778,0.8856606943287704,0.8458349704742432
15,0.8833333333333333,0.8832087040437373,0.8448667526245117
17,0.8826666666666667,0.882536151279199,0.8671302795410156
19,0.8853333333333333,0.8852091664979245,0.9485042095184326
