cluster,trade_count,total_volume_usd,distinct_tokens,avg_trade_size,std_trade_size,trades_per_day,buy_fraction,avg_price,longshot_ratio,directional_conviction,size_variability,n,persona,model
0,66.21621621621621,16226.031648431843,24.89264264264264,250.44157910076407,504.4848207364185,10.680596160797649,0.5108312140098039,0.5325125647247151,0.2486295279481903,0.14222344370961532,2.2557052131219613,31968,"Cluster 0 (n=31968): high size_variability (z=+0.31), high avg_price (z=+0.24), low buy_fraction (z=-0.20).",V2_bestK5
1,60.6433973240256,52690.75910292771,24.43955788248982,697.1519730271065,1340.374497719334,10.091645092267362,0.7679498616195309,0.47987494554707416,0.2552538959824444,0.535899723239062,1.793325774237907,8595,"Cluster 1 (n=8595): high directional_conviction (z=+2.14), high buy_fraction (z=+2.03), low longshot_ratio (z=-0.11).",V2_bestK5
2,67.08985903414268,788.3224542802969,27.787211234389236,13.873253130393186,14.30605310043868,11.991114768851887,0.5076439857136312,0.5296810361942275,0.22325858371103052,0.11259088481353872,1.120140760610482,37314,"Cluster 2 (n=37314): high avg_price (z=+0.22), high trade_count (z=-0.04), low size_variability (z=-0.44).",V2_bestK5
3,1745.2344401129185,154929.29809281812,259.4706277725501,88.31828930560823,239.83342846829498,93.77132188355488,0.5181363225733208,0.5207956402554912,0.23273243893690787,0.14927501992786676,2.627762852586734,14878,"Cluster 3 (n=14878): high size_variability (z=+0.55), high distinct_tokens (z=+0.48), low longshot_ratio (z=-0.19).",V2_bestK5
4,58.488198757763975,636.9586280053829,12.21504485852312,20.472393800882546,26.02707417227315,12.227661747216658,0.520703998158637,0.07960122781183883,0.9169240895833676,0.15808015466075914,1.437139364596523,7245,"Cluster 4 (n=7245): high longshot_ratio (z=+2.21), high trade_count (z=-0.04), low avg_price (z=-2.44).",V2_bestK5
0,66.21621621621621,16226.031648431843,24.89264264264264,250.44157910076407,504.4848207364185,10.680596160797649,0.5108312140098039,0.5325125647247151,0.2486295279481903,0.14222344370961532,2.2557052131219613,31968,"Cluster 0 (n=31968): high size_variability (z=+0.31), high avg_price (z=+0.24), low buy_fraction (z=-0.20).",V2_K5
1,60.6433973240256,52690.75910292771,24.43955788248982,697.1519730271065,1340.374497719334,10.091645092267362,0.7679498616195309,0.47987494554707416,0.2552538959824444,0.535899723239062,1.793325774237907,8595,"Cluster 1 (n=8595): high directional_conviction (z=+2.14), high buy_fraction (z=+2.03), low longshot_ratio (z=-0.11).",V2_K5
2,67.08985903414268,788.3224542802969,27.787211234389236,13.873253130393186,14.30605310043868,11.991114768851887,0.5076439857136312,0.5296810361942275,0.22325858371103052,0.11259088481353872,1.120140760610482,37314,"Cluster 2 (n=37314): high avg_price (z=+0.22), high trade_count (z=-0.04), low size_variability (z=-0.44).",V2_K5
3,1745.2344401129185,154929.29809281812,259.4706277725501,88.31828930560823,239.83342846829498,93.77132188355488,0.5181363225733208,0.5207956402554912,0.23273243893690787,0.14927501992786676,2.627762852586734,14878,"Cluster 3 (n=14878): high size_variability (z=+0.55), high distinct_tokens (z=+0.48), low longshot_ratio (z=-0.19).",V2_K5
4,58.488198757763975,636.9586280053829,12.21504485852312,20.472393800882546,26.02707417227315,12.227661747216658,0.520703998158637,0.07960122781183883,0.9169240895833676,0.15808015466075914,1.437139364596523,7245,"Cluster 4 (n=7245): high longshot_ratio (z=+2.21), high trade_count (z=-0.04), low avg_price (z=-2.44).",V2_K5
