seed,inertia,silhouette,runtime_sec
0,492065.7885750752,0.17096999084005907,3.5923709869384766
1,492065.78282382915,0.17097085924250138,2.0469508171081543
2,492065.78282382915,0.17097085924250138,1.2133450508117676
3,492065.78282382915,0.17097085924250138,1.2070589065551758
4,492065.7885750752,0.17096999084005907,1.265800952911377
5,492065.7885750752,0.17096999084005907,1.3685050010681152
6,492065.78282382915,0.17097085924250138,1.2919020652770996
7,492065.7885750752,0.17096999084005907,1.4313037395477295
8,492065.7885750752,0.17096999084005907,2.5138230323791504
9,492065.7885750752,0.17096999084005907,2.9300808906555176
