k,inertia,silhouette,within_cluster_heterogeneity,runtime_sec
2,445304.3316970099,0.1813412064932661,0.8814672264677367,4.990134000778198
3,397435.1702041543,0.17096352996853437,0.8475165305917608,3.0066909790039062
4,352930.33937862224,0.1867154024993818,0.8304746187680473,2.5774710178375244
5,324402.00954669924,0.19034522663332026,0.8096501217872462,2.3100600242614746
6,302493.1542893741,0.18197218578353852,0.7893234395408099,3.1962850093841553
7,284698.05540085456,0.1492650445619088,0.7684684175271252,3.1216139793395996
8,270813.8645575777,0.14810112200553696,0.7398278467279293,3.1710498332977295
9,260925.58259733868,0.14846147832352394,0.7291008049970658,4.133141040802002
10,250314.4975066041,0.1545546223078611,0.7175345853574149,3.6672258377075195
