k,inertia,silhouette,within_cluster_heterogeneity,runtime_sec
2,492065.7818779865,0.17096932171800433,0.8907156101386475,2.793034076690674
3,426010.66681133705,0.16166782903859472,0.8232574662744705,2.284085988998413
4,384469.5917364131,0.16883374057135825,0.797268451827067,2.1419529914855957
5,354311.3365660036,0.15960551986763252,0.7661426905410698,7.365907907485962
6,329411.0097055115,0.15623125274691083,0.7625549577572713,6.109443187713623
7,310203.2027366681,0.16254363654681558,0.733450235800629,6.1251420974731445
8,298617.8802961405,0.15697837108399967,0.7199411660744843,4.539911985397339
9,284326.5148070484,0.15370423919541917,0.715159804760617,3.455181837081909
10,274259.9146885655,0.15489704568672455,0.7047404218366018,5.389008045196533
