k,val_accuracy,val_macro_f1,runtime_sec
3,0.8417777777777777,0.7841704593725406,1.0755298137664795
5,0.8488888888888889,0.7902023039179081,0.7914779186248779
7,0.8466666666666667,0.7853193878519298,0.7911422252655029
9,0.848,0.7833881560830365,0.790363073348999
11,0.8486666666666667,0.7817231746972112,0.7985589504241943
13,0.8464444444444444,0.7726147114507576,0.8334550857543945
15,0.846,0.7721453229472572,0.832108736038208
17,0.844,0.7663352056220551,0.8375160694122314
19,0.8426666666666667,0.7620048276191593,0.9247448444366455
