wallet,trade_count,total_volume_usd,distinct_tokens,active_days,maker_fraction,avg_trade_size,std_trade_size,max_trade_size,trades_per_day,hour_entropy,buy_fraction,avg_price,longshot_ratio,resolved_trade_count,win_rate,excess_return,total_pnl,trade_size_cv
0xb744f56635B537e859152d14b022Af5AFe485210,76094,124366581.15534133,861,60,0.8953136909611796,1634.380912494301,13694.937458603586,766074.8096,1268.2333333333331,0.9490509066892764,0.8454280232344206,0.4218728321379737,0.01072561089349,76094,0.3596188522041907,-0.1139573685343312,-2520575.5365149993,8.379281325369334
0x26437896Ed9DfEb2F69765Edcafe8FDCEaAB39aE,4974,57173973.22650501,132,38,0.2696019300361881,11494.566390531763,54081.98983577135,1221087.79008,130.89473684210526,0.8060503584174362,0.2913148371531966,0.5325538644126883,0.0082815734989648,4974,0.4768806073153899,-0.0111397691481865,-320895.67966699915,4.70500478211335
0xdf2e12C6a53671D0B08f29d0391728097029ddec,60197,54184396.9595111,6576,132,0.7930793893383391,900.1178955680699,4759.733606792543,192000.0,456.0378787878788,0.9717731821965586,0.8010864328787148,0.5030395884400296,0.0274350413703004,59956,0.5238154743309382,0.0524023659856317,857489.0734609885,5.28790020754853
0x8A4c788F043023b8B28a762216d037E9f148532b,42469,45425403.92713297,1298,1247,0.7999481975087711,1069.6132220474458,5807.677154061518,299700.0,34.05693664795509,0.9871124415797138,0.5953989969153971,0.4066834578812983,0.4184133512615676,41421,0.4054274305272594,-0.1711783215906349,-52953.85076619647,5.429698356705525
0xd6A3F0EC6C4A8aD680d580610C82CA57ff139489,134136,43844346.82983302,15005,75,0.7484269696427507,326.864874678185,1297.2562599908797,68947.5,1788.48,0.892808252961745,0.8027151547682949,0.4630731758198823,0.0679093180277321,133911,0.4523605788905837,0.0321061161675102,508866.95641400793,3.9687845360199496
0xae363845352952CDEa784F581E9EE99a219c8Fb5,34500,41828702.26128202,1043,68,0.5797391304347826,1212.426152500928,7234.116960287338,473877.55809,507.3529411764706,0.8105976481580045,0.6926376811594203,0.5509706354390723,0.0682541011047874,34500,0.6498577167726817,0.435339464627142,1093354.0823660006,5.966645428560896
0x80cd8310AA624521e9e1B2B53B568cAfb0eF0273,119209,41485580.93762403,4775,299,0.7147446920953955,348.0071214222419,1536.883282978334,205462.562,398.6923076923077,0.9814612948033802,0.750228590123229,0.480936463385726,0.093174855200483,119199,0.5026166886587793,0.0529115181047612,914997.956441998,4.416240899603925
0x7744bFd749a70020d16A1fcbAC1D064761C9999e,20863,33470047.21741902,574,69,0.7286583904519963,1604.2777748846772,10443.845086941215,442216.45032,302.3623188405797,0.9875487496116492,0.5921967118822796,0.5100163115605088,0.2198300283286119,16285,0.5684796854521625,-0.0353088709039587,1456581.4367540006,6.509997988155117
0x090a0D3fC9D68d3E16dB70E3460e3e4b510801b4,29378,32115654.692302,1222,223,0.7287766355776432,1093.1872384880523,6638.256961075607,240462.74655,131.73991031390133,0.9609529599191328,0.7814350874804276,0.4757487534759614,0.0473058326436381,27111,0.4724884297134308,-0.0404798482319694,535801.1154070015,6.072387901506003
0x161Eb16874E34f545991e774B4E1AC5B65F86eF0,44111,31775884.61715797,1317,105,0.6956541452245472,720.3619191847378,3311.976281052554,125262.49212,420.1047619047619,0.7805979594631125,0.5939334859785541,0.7332850488497535,0.0366044505515477,44111,0.8596511317225848,0.0410491556790627,486862.5103009995,4.597655973820562
0x847b8fDacD157191D47c7cCb2AAD5C67Bbd21027,23009,30364448.54945103,262,65,0.8778304141857534,1319.6770198379345,9631.90254798419,467482.6332,353.9846153846154,0.9784741449466332,0.4272241296883828,0.8894539034298506,0.0275686673448626,22818,0.9512920426579164,-0.028921979511421,138196.30473600005,7.298681725295978
0x1e3A3d3b980255baB982d366Ca1fA2B09c104033,24207,30095314.530760992,1794,87,0.3250299500144586,1243.2484211492954,5334.136350295842,167616.589983,278.2413793103448,0.9229257937468096,0.385012599661255,0.4845209533297232,0.0063304721030042,24197,0.6185721953837896,-0.0642213982065757,-630312.5268229999,4.29048310824703
0x5F390E4B7D6f06D6756a6c92Afdbf7b3176aa78c,1293633,29190968.61691201,73251,527,0.4830921907527096,22.565108200634963,107.6351738156034,11340.42822,2454.7115749525615,0.9891949984017204,0.4700931407903169,0.4045026637264959,0.1679728609766365,1078065,0.685833734324805,-0.0215648653508242,209054.3822389963,4.769982614688931
0x7DBF59b7AfC0b698CF08E533096291dba724F8AB,302,25925098.97504051,0,3,0.0,85844.69859284938,267408.4361188028,3090070.032885,100.66666666666669,0.5252303862236085,1.0,0.782899034847367,0.0,0,0.0,0.0,0.0,3.1150256276987753
0x9c88C0ad88b0c7dd929b0CF040abC9a46B2Bc405,20984,22556080.502399996,4368,297,0.5715306900495616,1074.918056728936,8521.079975734618,639360.0,70.65319865319866,0.9720038407445096,0.4279927563858177,0.4235069418852145,0.2036521545484912,20984,0.7715176483687786,-0.1949389136754956,-155070.45681,7.927190284313358
0x4FC8542d9dA86166ef2bAB9C4088F85fe7D04B72,232,21819854.100666143,0,2,0.0,94051.095261492,259603.32782766884,1956718.8961125,116.0,0.6439000487953156,1.0,0.7036606155741296,0.0043103448275862,0,0.0,0.0,0.0,2.760237157322718
0x0F1b8F81FdcB47B6C3292B8DbF6c2c16b3C4d367,92487,21380607.652028136,1371,36,0.7425367889541232,231.17419369239067,595.9308497621714,33133.333333,2569.0833333333335,0.9600398080334752,0.8211964924800242,0.4890204589290535,0.0751152073732718,92487,0.4906254114549045,-0.0128843354047769,509715.39063500386,2.577843314791183
0x7c156Bb0DBb44dcb7387A78778E0Da313Bf3C9db,35747,20856347.535787,762,265,0.7564830615156517,583.443296942037,1968.0703399856793,70199.059,134.8943396226415,0.9532628764379458,0.4816627968780597,0.5427451513627077,0.2157625740504123,35422,0.6003745756759921,-0.2653904679524756,163095.53171299977,3.3731989900317596
